code_individual_host,hosts_species_match,host_DNA_ext_ID,host_species,updated_host_species_name,country,state,county,locality,latitude,longitude,date_collected,host_order,host_suborder,host_family,host_subfamily,Tribe,host_genus,sex,life_stage,infected,intensity,TAMUIC_IC_CODE,observations
Tobs_Pan_12Oct2023_15,Tobs15,R2,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,TAMUIC-IGC-004539,
Tobs_Pan_12Oct2023_16,Tobs16,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,150,,
Tobs_Pan_12Oct2023_16,Tobs16,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,150,,
Tobs_Pan_12Oct2023_17,Tobs17,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,300,,
Tobs_Pan_12Oct2023_17,Tobs17,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,300,,
Tobs_Pan_12Oct2023_17,Tobs17,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,300,,
Tobs_Pan_12Oct2023_17,Tobs17,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Panaba,Near Rancho San Francisco; northwest Panaba,21.398019,-88.434586,Oct/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,300,,
Tobs_EC_10Oct2023_18,Tobs18,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,,
Tobs_EC_10Oct2023_19,Tobs19,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,150,,
Tobs_EC_10Oct2023_20,Tobs20,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,30,,
Tobs_EC_10Oct2023_21,Tobs21,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,200,,
Tobs_EC_10Oct2023_22,Tobs22,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,100,,
Tobs_EC_10Oct2023_23,Tobs23,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,,
Tobs_EC_10Oct2023_24,,,Taeniopoda obscura,Romalea obscura,MX,Yucatan,Tizimin,El Cuyo: Paque Natural Rio Lagartos penultima entrada a la playa,21.513693,-87.658523,Oct/13/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Taur_CE_9Dec2023_1,Taur1,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,100,,
Taur_CE_9Dec2023_2,Taur2,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,35,,
Taur_CE_9Dec2023_3,Taur3,R3,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,TAMUIC-IGC-004540,
Taur_CE_9Dec2023_4,Taur4,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,,
Taur_CE_9Dec2023_5,Taur5,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,16,,
Taur_CE_9Dec2023_6,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,,
Taur_CE_9Dec2023_7,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,3,,
Taur_CE_9Dec2023_8,Taur8,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,,
Taur_CE_9Dec2023_8,Taur8,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,,
Taur_CE_9Dec2023_8,Taur8,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,,
Taur_CE_9Dec2023_8,Taur8,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,,
Taur_CE_9Dec2023_9,Taur9,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,100,,
Taur_CE_9Dec2023_10,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,,
Taur_CE_9Dec2023_11,Taur11,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,100,,
Taur_CE_9Dec2023_12,Taur11,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,,
Taur_CE_9Dec2023_13,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Taur_CE_9Dec2023_14,Taur14,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,120,,
Taur_CE_9Dec2023_15,Taur15,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,,
Taur_CE_9Dec2023_15,Taur15,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Tepetlan,Potrero near Colonia Enriquez,19.706789,-96.762519,Dec/9/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,60,,
Taur_XA_10Dec2023_16,Taur16,R4,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,8,TAMUIC-IGC-004541,
Taur_XA_10Dec2023_17,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Taur_XA_10Dec2023_18,Taur18,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,50,,
Taur_XA_10Dec2023_18,Taur18,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,50,,
Taur_XA_10Dec2023_19,,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,5,,
Taur_XA_10Dec2023_20,Taur20,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,6,,
Taur_XA_10Dec2023_21,Taur20,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,70,,
Taur_XA_10Dec2023_22,Taur22,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,5,,
Taur_XA_10Dec2023_23,Taur23,,Taeniopoda auricornis,Romalea auricornis,MX,Veracruz,Xalapa,Parque Natura,19.517877,-96.886819,Dec/10/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,22,,
Tpic_PA_12Dec2023_1,Tpic1,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,6,,
Tpic_PA_12Dec2023_2,,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Tpic_PA_12Dec2023_3,,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Tpic_PA_12Dec2023_4,Tpic4,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,,
Tpic_PA_12Dec2023_5,Tpic5,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,1,,
Tpic_PA_12Dec2023_6,Tpic1,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,5,,
Tpic_PA_12Dec2023_7,Tpic7,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,,
Tpic_PA_12Dec2023_8,,R6,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,TAMUIC-IGC-004543,
Tpic_PA_12Dec2023_9,Tpic9,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,1,TAMUIC-IGC-004543,
Tpic_PA_12Dec2023_10,Tpic10,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,7,,
Tpic_PA_12Dec2023_10,Tpic10,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,7,,
Tpic_PA_12Dec2023_11,,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Tpic_PA_12Dec2023_12,,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Tpic_PA_12Dec2023_13,Tpic10,,Taeniopoda picticornis,Romalea auricornis,MX,Veracruz,Camerino Z. Mendoza,along Paseo de los Ahuehuetes river,18.79545,-97.182884,Dec/12/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,1,,
Teq_Hui_19Dec2023_1,,R7,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,TAMUIC-IGC-004544,
Teq_Hui_19Dec2023_2,Teq2,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,2,TAMUIC-IGC-004544,
Teq_Hui_19Dec2023_3,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_4,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Teq_Hui_19Dec2023_5,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Teq_Hui_19Dec2023_6,,R5,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,TAMUIC-IGC-004542,
Teq_Hui_19Dec2023_7,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Teq_Hui_19Dec2023_8,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_9,Teq2,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,y,4,,
Teq_Hui_19Dec2023_10,Teq2,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,2,,
Teq_Hui_19Dec2023_11,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Teq_Hui_19Dec2023_12,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_13,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_14,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_15,Teq15,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
Teq_Hui_19Dec2023_16,Teq16,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_17,Teq17,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,male,adult,n,0,,
Teq_Hui_19Dec2023_18,Teq18,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,2,,
Teq_Hui_19Dec2023_18,Teq18,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,y,2,,
Teq_Hui_19Dec2023_19,,,Taeniopoda eques,Romalea eques,MX,Hidalgo,Huichapan,Carretera Federal 45 Huichapan-Ixmiquilpan; San Mateo,20.386229,-99.64733,Dec/19/2023,Orthoptera,Caelifera,Romaleidae,Romaleinae,Romaleini,Taeniopoda,female,adult,n,0,,
